source,author,title,description,url,publishedAt,content
Gizmodo.com,Bruce Gil,Dogecoin Has Made It to Wall Street,"The first memecoin ETFs have hit the stock market, legitimizing the once too-online digital currency.",https://gizmodo.com/dogecoin-has-made-it-to-wall-street-2000663698,2025-09-25T15:40:25Z,"Are meme coins a legitimate investment now? Well, Wall Street seems to think so. Last week, REX Financial and Osprey Funds launched the first Dogecoin exchange-traded fund (ETF).
Basically, an ETF i… [+3310 chars]"
Business Insider,Theron Mohamed,The world's 10 richest people lost nearly $70 billion in Friday's market rout,"Elon Musk, Jeff Bezos, and Mark Zuckerberg led the wealth declines on Friday as fresh fears of a trade war hammered stocks.",https://www.businessinsider.com/rich-list-trump-trade-war-musk-bezos-zuck-ai-stocks-2025-10,2025-10-13T10:45:50Z,"Larry Ellison is one of the world's richest men, so he can buy anything he wants, like a media company or two. That's what Elon Musk did with Twitter.Anna Moneymaker; Kevin Dietsch / Getty Images
<u… [+2361 chars]"
Business Insider,jsor@businessinsider.com (Jennifer Sor),These 13 stocks in a small corner of the market should be on investor radars as earnings season nears,"Small- to-mid-cap industrial stocks are heavily discounted and could outperform in the coming earnings season, UBS said.",https://www.businessinsider.com/stocks-what-to-invest-in-small-cap-industrial-investment-ideas-2025-9,2025-09-25T09:15:01Z,"Earnings season is just around the cornerand there's a handful of stocks in one under-the-radar area of the market investors should be keeping their eye on, UBS told clients this week.
The bank high… [+6055 chars]"
MacRumors,Joe Rossignol,Apple's Stock Price Reaches New All-Time High,"Apple's stock price reached a new all-time high today, with shares in the company trading for as much as $263.47 on the intraday market, according to Yahoo Finance.





The company's previous intraday high was $260.10, set on December 26, 2024.



Keep in mi…",https://www.macrumors.com/2025/10/20/apple-stock-new-all-time-high/,2025-10-20T15:12:29Z,"Apple's stock price reached a new all-time high today, with shares in the company trading for as much as $263.47 on the intraday market, according to Yahoo Finance.
The company's previous intraday h… [+860 chars]"
Gizmodo.com,Kyle Torpey,Bitcoin Price Slumps as Wall Street Prepares for Crypto ETF Frenzy,It's been a rough week for crypto.,https://gizmodo.com/bitcoin-price-slumps-as-wall-street-prepares-for-crypto-etf-frenzy-2000673653,2025-10-17T17:40:25Z,"Earlier this month, bitcoin was on top of the world, hitting yet another new all-time high of roughly $125,000. Around the same time, applications for a large number of increasingly speculative crypt… [+4095 chars]"
Kotaku,Kotaku,"Ryzen 7 7800X3D Is Selling for Pennies, AMD Is Clearing Out Stock at an All‑Time Low","It might be the best gaming CPU on the market right now for this price.
The post Ryzen 7 7800X3D Is Selling for Pennies, AMD Is Clearing Out Stock at an All‑Time Low appeared first on Kotaku.",https://kotaku.com/ryzen-7-7800x3d-is-selling-for-pennies-amd-is-clearing-out-stock-at-an-all‑time-low-2000632485,2025-10-07T12:37:49Z,Gaming at high frame rates with maximum detail settings requires a processor that can keep up with modern graphics cards without creating bottlenecks. AMD’s Ryzen 7 7800X3D has earned its reputation … [+3113 chars]
Gizmodo.com,AJ Dellinger,Is the AI Conveyor Belt of Capital About to Stop?,Good thing it's only the entire economy propped up by this right now.,https://gizmodo.com/is-the-ai-conveyor-belt-of-capital-about-to-stop-2000671017,2025-10-13T19:40:03Z,The American economy is little more than a big bet on AI. Morgan Stanley investor Ruchir Sharma recently noted that money poured into AI investments now accounts for about 40% of the United States GD… [+12177 chars]
Yahoo Entertainment,,Should You Buy This Ultra-High Dividend Yield Stock in Preparation For a Market Crash?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f9a919b7-5677-4a40-aa78-95e9fe03a16a,2025-10-01T00:52:00Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,Simply Wall St,3 Reliable Dividend Stocks Yielding Up To 9%,"As U.S. stock indexes continue to rise despite the ongoing government shutdown, investors are keenly observing how these developments might influence market ...",https://finance.yahoo.com/news/3-reliable-dividend-stocks-yielding-173154112.html,2025-10-06T17:31:54Z,"As U.S. stock indexes continue to rise despite the ongoing government shutdown, investors are keenly observing how these developments might influence market dynamics and decision-making by the Federa… [+4794 chars]"
Yahoo Entertainment,Petr Huřťák,1 High-Flying Stock to Own for Decades and 2 We Turn Down,"Expensive stocks often command premium valuations because the market thinks their business models are exceptional. However, the downside is that high...",https://finance.yahoo.com/news/1-high-flying-stock-own-043836187.html,2025-09-26T04:38:36Z,"Expensive stocks often command premium valuations because the market thinks their business models are exceptional. However, the downside is that high expectations are already baked into their prices,… [+2678 chars]"
Yahoo Entertainment,Jabin Bastian,1 Large-Cap Stock to Consider Right Now and 2 Facing Challenges,Large-cap stocks usually command their industries because they have the scale to drive market trends. The flip side though is that their sheer size can limit...,https://finance.yahoo.com/news/1-large-cap-stock-consider-044736999.html,2025-10-20T04:47:36Z,Large-cap stocks usually command their industries because they have the scale to drive market trends. The flip side though is that their sheer size can limit growth as expanding further becomes an in… [+2725 chars]
Yahoo Entertainment,Marco Quiroz-Gutierrez,Billionaire PC tycoon Michael Dell is riding the AI gold rush—and he says the party’s far from over even if eventually ‘there’ll be too many’ data centers,Dell Technologies’ stock is up 39% year to date.,https://finance.yahoo.com/news/billionaire-pc-tycoon-michael-dell-190837156.html,2025-10-08T19:08:37Z,"Michael Dell, who revolutionized the personal computer industry with Dell Technologies in the late 90s and is now the 10th richest person in the world, offered his take on the AI wave his company is … [+2323 chars]"
3quarksdaily.com,John Allen Paulos,The Paradoxical Efficient Market Hypothesis (2024),"by John Allen Paulos Louis Bachelier Election season has put an increased focus on the stock market, but little attention is ever paid to the Efficient Market Hypothesis (the EMH, for short). As I’ve written in A Mathematician Plays the Stock Market, it is a …",https://3quarksdaily.com/3quarksdaily/2024/09/the-paradoxical-efficient-market-hypothesis.html,2025-10-08T02:11:39Z,"by John Allen Paulos
Louis Bachelier
Election season has put an increased focus on the stock market, but little attention is ever paid to the Efficient Market Hypothesis (the EMH, for short). As Iv… [+7443 chars]"
Barchart.com,Rob Isbitts,Nvidia Stock at 8% of the S&P 500 Index Is a Big Problem for Investors. Let’s Do the Math.,One single stock essentially dictates our financial lives these days.,https://www.barchart.com/story/news/35587356/nvidia-stock-at-8-of-the-s-p-500-index-is-a-big-problem-for-investors-lets-do-the-math,2025-10-21T14:42:22Z,"Remember when energy stocks dominated the S&amp;P 500 Index ($SPX), and one company, Exxon Mobil (XOM), was the single largest weighted component?
Admittedly, although I was managing money at the ti… [+3457 chars]"
Business Insider,sobrient@insider.com (Samuel O'Brient),"IBM just helped HSBC pull off the world's first quantum-powered trades, and its stock is jumping",HSBC said it used IBM's quantum tech in bond trading. IBM stock popped on the news as investors cheered real-world use for quantum computing.,https://www.businessinsider.com/ibm-stock-price-quantum-computing-hsbc-bond-trading-markets-2025-9,2025-09-25T15:07:49Z,"The move: IBM stock jumped as much as 5% on Thursday, extending a week of solid gains. 
Shares of the tech company have risen steadily in 2025, and are up 22% year-to-date. 
Why: On Thursday, HSBC … [+1960 chars]"
Yahoo Entertainment,Radek Strnad,"DraftKings (DKNG) Stock Trades Down, Here Is Why",Shares of fantasy sports and betting company DraftKings (NASDAQ:DKNG) fell 11.2% in the afternoon session after reports of rising competition from prediction...,https://finance.yahoo.com/news/draftkings-dkng-stock-trades-down-185056598.html,2025-09-30T18:50:56Z,Shares of fantasy sports and betting company DraftKings (NASDAQ:DKNG) fell 11.2% in the afternoon session after reports of rising competition from prediction platforms Kalshi and Robinhood sparked in… [+2423 chars]
Yahoo Entertainment,Simply Wall St,3 Promising Penny Stocks With Market Caps Under $900M,"As the U.S. markets close higher after a volatile week, investors are keenly observing opportunities that might arise amidst fluctuating conditions and...",https://finance.yahoo.com/news/3-promising-penny-stocks-market-120516316.html,2025-10-20T12:05:16Z,"As the U.S. markets close higher after a volatile week, investors are keenly observing opportunities that might arise amidst fluctuating conditions and economic uncertainties. Penny stocks, often see… [+5683 chars]"
Business Insider,Alice Tecotzky,Elon Musk becomes the world's first $500 billion man,Elon Musk's wealth briefly touched the half-a-trillion-dollar mark on Wednesday thanks in part to Tesla's rising stock price.,https://www.businessinsider.com/elon-musk-worlds-first-500-billion-man-2025-10,2025-10-02T14:36:11Z,"Tesla CEO Elon Musk laughingKirsty Wigglesworth/Pool via REUTERS
<ul><li>Elon Musk has become the first person worth $500 billion.</li><li>Musk's net worth is closely tied to Tesla stock, which is u… [+1798 chars]"
