source,author,title,description,url,publishedAt,content
The Mercury News,,Netflix blames tax dispute in Brazil for rare quarterly earnings letdown,"Netflix missed the earnings target set by stock market analysts during the video streamer's latest quarter, a letdown that the company blamed on a tax dispute in Brazil.",https://www.mercurynews.com/2025/10/22/netflix-tax-dispute-brazil-quarterly-earnings-letdown/,2025-10-22T16:03:04Z,"By MICHAEL LIEDTKE
Netflix missed the earnings target set by stock market analysts during the video streamer’s latest quarter, a letdown that the company blamed on a tax dispute in Brazil.
The results announced Tuesday broke Netflix’s six-quarter str... [4150 chars]"
Benzinga,,QuantumScape Stock Slides Ahead Of Q3 Earnings: What's Going On?,QuantumScape shares are trading lower Wednesday morning as the market anticipates its third-quarter earnings report after the closing bell.,https://www.benzinga.com/trading-ideas/movers/25/10/48357671/quantumscape-stock-slides-ahead-of-q3-earnings-whats-going-on,2025-10-22T15:34:13Z,"QuantumScape Corp (NYSE:QS) shares are trading lower Wednesday morning as the market anticipates its third-quarter earnings report after the closing bell. This pullback follows a significant rally that saw the stock last week hit a new 52-week high.
... [2227 chars]"
Investor's Business Daily,,Home Depot Stock: One Of America's Greatest Opportunities,"In 1981, in the middle of a bear market, Home Depot stock had its initial public offering. Shares quickly grew by more than 1,000%.",https://www.investors.com/how-to-invest/home-depot-hd-stock-americas-greatest-opportunities/,2025-10-22T14:07:36Z,"Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The information has been obtained from sources we ... [1013 chars]"
Bloomberg,,S&P 500 Steady as Traders Weigh ‘Split’ Market; Netflix Tumbles,"US stock declines deepened after news that the Trump administration is considering curbs on software exports to China. Big tech led S&P 500 Index losses on a points basis, with Apple Inc. falling 2.4% and Nvidia Corp. shedding 2.1%.",https://www.bloomberg.com/news/articles/2025-10-22/s-p-500-steady-as-traders-weigh-split-market-netflix-tumbles,2025-10-22T13:55:51Z,"US stock declines deepened after newsBloomberg Terminal that the Trump administration is considering curbs on software exports to China. Big tech led S&P 500 Index losses on a points basis, with Apple Inc. falling 2.4% and Nvidia Corp. shedding 2.1% ... [401 chars]"
CNBC,,Jim Cramer's top 10 things to watch in the stock market Wednesday,Stock futures were muted Tuesday as investors awaiting another batch of corporate earnings.,https://www.cnbc.com/2025/10/22/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday.html,2025-10-22T12:57:16Z,"My top 10 things to watch Wednesday, Oct. 22 1. GE Vernova reported an earnings beat this morning and reaffirmed its full-year targets. The Club stock posted excellent organic orders for gas turbines, but miserable orders for wind. Wind is a rounding... [3999 chars]"
Benzinga,,How To Earn $500 A Month From IBM Stock Ahead Of Q3 Earnings,"IBM (NYSE: IBM) to release Q3 earnings after market close on Wednesday. Analysts expect $2.45/share earnings and $16.1B revenue. IBM offers 2.38% annual dividend yield, investors can earn $500/month with $251,871 investment or $100/month with $50,487 investment.",https://www.benzinga.com/trading-ideas/dividends/25/10/48350802/how-to-earn-500-a-month-from-ibm-stock-ahead-of-q3-earnings-2,2025-10-22T12:40:43Z,"IBM (NYSE:IBM) will release earnings results for the third quarter after the closing bell on Wednesday.
Analysts expect the company to report quarterly earnings at $2.45 per share, up from $2.30 per share in the year-ago period. The consensus estimat... [1973 chars]"
Benzinga,,Why Is Wellgistics Health Stock Soaring Wednesday?,DataVault AI and Wellgistics Health are collaborating to bring blockchain technology to the US prescription drug market.,https://www.benzinga.com/trading-ideas/movers/25/10/48350651/wellgistics-and-datavault-team-up-to-transform-prescription-tracking,2025-10-22T12:30:33Z,"DataVault AI, Inc. (NASDAQ:DVLT) and Wellgistics Health, Inc. (NASDAQ:WGRX) are collaborating to bring blockchain technology to the U.S. prescription drug market.
Through a non-binding letter of intent, the companies plan to integrate DataVault’s blo... [2109 chars]"
Investopedia,,5 Things to Know Before the Stock Market Opens,Stock futures are little changed as investors digest a weaker-than-expected earnings report from Netflix and look ahead to Tesla’s quarterly results after the closing bell. Here's what you need to know today.,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-october-22-2025-11834499,2025-10-22T12:22:49Z,Stock futures are holding steady this morning as quarterly earnings reports continue to roll in and the government shutdown begins its fourth week; gold futures are losing ground for the second straight day after hitting a series of record highs; Tes... [3645 chars]
The Street,,Stock Market Today: Stocks Decline As Earnings Season Picks Up Pace,This live blog is refreshed periodically throughout the day with the latest updates from the market. To find the latest Stock Market,https://www.thestreet.com/markets/stock-market-today-stocks-decline-as-earnings-season-picks-up-pace,2025-10-22T12:12:33Z,"This live blog is refreshed periodically throughout the day with the latest updates from the market. To find the latest Stock Market Today threads, click here.
Happy Wednesday. This is TheStreet’s Stock Market Today for Oct. 22, 2025. You can follow ... [2530 chars]"
Investor's Business Daily,,Stock Market Today: Dow Falls As Netflix Dives On Q3 Miss; Tesla Earnings Next (Live),Stock Market Today: The Dow Jones index fell Wednesday as Netflix dived on an earnings miss. Tesla earnings are due after the close.,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-netflix-nflx-stock-tesla-earnings-tsla-stock/,2025-10-22T12:10:02Z,"Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The information has been obtained from sources we ... [1013 chars]"
