Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA
Date,,,,,,,,,,,,,,,
03-01-23,123.3306503,88.50954437,108.0999985,129.0795668,90.42632447,118.8000031,122.4431651,87.91364822,104.6399994,128.4681939,88.97631858,118.4700012,112117500,28131200,231402800
04-01-23,124.6026993,87.47666931,113.6399994,126.870716,90.02906496,114.5899963,123.3405016,86.67221252,107.5199966,125.1253273,89.73111688,109.1100006,89113600,34854800,180389000
05-01-23,123.2813339,85.60954285,110.3399963,125.9930895,86.97016133,111.75,123.0249552,85.31160234,107.1600037,125.3619906,86.87084782,110.5100021,80962700,27194400,157986300
06-01-23,127.8173294,86.74172974,113.0599976,128.4780097,87.08933835,114.3899994,123.1531152,84.27872163,101.8099976,124.2575417,86.1955017,103,87754700,41381500,220911100
09-01-23,128.3400269,87.41707611,119.7699966,131.5547004,89.43317735,123.5199966,128.083648,87.25817602,117.1100006,128.6555839,87.75475111,118.9599991,70790800,29003900,190284000
10-01-23,128.9119263,87.81433868,118.8499985,129.4345543,88.06262623,122.7600021,126.3382231,85.24208331,114.9199982,128.4484614,85.39105735,121.0699997,63896200,30467800,167642500
11-01-23,131.6335449,90.89309692,123.2200012,131.6532559,90.97255075,125.9499969,128.6456847,88.40029554,120.5100021,129.4246914,88.56912925,122.0899963,69458900,26862000,183810800
12-01-23,131.5546722,90.50577545,123.5599976,132.3928423,91.24071206,124.1299973,129.6120678,89.1352309,117,132.0181372,90.85338409,122.5599976,71379600,30258100,169400900
13-01-23,132.8858795,91.48899078,122.4000015,133.043658,91.55851099,122.6299973,129.8290004,89.51261661,115.5999985,130.19385,90.2276859,116.5500031,57809700,26329200,180714100
17-01-23,134.0494995,90.66468048,131.4900055,135.3807162,91.61810374,131.6999969,132.2646734,89.43317638,125.0199966,132.9549356,91.42940278,125.6999969,63646600,32602400,186477000
18-01-23,133.3296204,90.49584198,128.7799988,136.68233,92.16433449,136.6799927,133.1521158,90.01912659,127.0100021,134.9172304,91.50885177,136.5599976,69672800,29116700,195680300
19-01-23,133.3888092,92.41262054,127.1699982,134.3551762,92.96878218,129.9900055,131.9096696,90.00919153,124.3099976,132.2153561,90.09857898,127.2600021,58280400,37000400,170291900
20-01-23,135.9526215,97.34857178,133.4199982,136.1005444,97.62666018,133.5099945,132.3533884,94.36912141,127.3499985,133.3986445,94.44857524,128.6799927,80223600,63191100,138858100
23-01-23,139.1475983,99.10644531,143.75,141.3268706,99.35473283,145.3800049,135.9822328,96.83213077,134.2700043,136.1991745,97.27904526,135.8699951,81760300,40005100,203119200
24-01-23,140.5478363,97.03076935,143.8899994,141.1690797,98.92768982,146.5,138.3488531,96.53419426,141.1000061,138.3587086,97.42803093,143,66435100,33078500,158699100
25-01-23,139.887146,94.56774902,144.4299927,140.4492112,95.5013125,146.4100037,136.8795595,93.11775086,138.0700073,138.9306346,94.91535003,141.9100037,65799300,42330000,192734300
